"AE4010","Research Methodologies","The aim of the course is to be a research-driven preparation for the aerospace engineering MSc thesis in the final year of the MSc. It will help you prepare for the challenges of your thesis work.

The course will consist of 7 lectures and will be taught online using video lectures in periods 1, 2, 3, 4 and 5(summer holidays), there are no longer face-to-face lectures in period 4.

The lecture set up is as follows:
Week 1. Research Design in MSc - Introduction to research, research framework
Week 2. Research Methods - Stages of a project, Research objective, research questions, research strategy, research methods
Week 3. Data Analysis - Quantitative & Qualitative methods
Week 4. Validation & Verification - How to validate & verify your work?
Week 5. Project Management & Peer review of draft Project plan - How to manage your project and your thesis progress. Project plan peer review
Week 6. Planning - How to plan, expectations, Gannt Charts
Week 7. Literature Review - How to carry out a scientific literature review? Differences between review and research

Every period a dedicated Blackboard site tailored for online course delivery and learning is available. This Blackboard site goed live on the first Monday of every lecture period.","At the end of the course the student will:
- be aware of the expectations of an MSc student
- be able to formulate a research question and research aim
- be able to set up a research plan for their Literature Study or MSc thesis
- be able to write a literature review based on the research plan with a view to select appropriate methodologies for their MSc thesis","http://www.studiegids.tudelft.nl/a101_displayCourse.do?course_id=35334&&SIS_SwitchLang=en"
"AE4441","Operations optimisation","The course aims at providing the students with knowledge and experience to set-up and analyze complex optimization problems. The course runs over the complete first semester.

The first period consists of lectures (4 hours per week). Use is made of the book of Hillier and lecture slides. Lectures consist of studio classroom sessions, where the theory is treated, followed by a practical part where the theory is applied. Use will be made of Excel, specific tools and MATLAB.
This period is ended with a written exam.

The lectures in the second period will treat the topic of metaheuristic methods. In addition, the problem of establishing an objective function (value engineering) is treated.","The aim of the course is to provide the students with knowledge that, after following the course, allows them to
1. Define from a general description an optimization problem, i.e., to define the decision variables, the constraints and the objective function;
2. Select and apply a suitable optimization method;
3. Analyze the results obtained from the optimization (sensitivity analysis);
4. Apply metaheustic methods;
5. Convert a given description of a value engineering problem to a mathematical formulation and apply an optimization method to solve for it.","http://www.studiegids.tudelft.nl/a101_displayCourse.do?course_id=35354&&SIS_SwitchLang=en"
"AE4316","Aerospace Human-Machine Systems","This course focuses on the various aspects of actual and future aircraft cockpit human-machine interfaces. It provides an extensive theoretical as well as practical knowledge on the specific characteristics of human behavior such as human perception, human mental processing, cognitive factors, and the role of the human pilot in manual and supervisory control tasks. The design and set-up of experiments is also discussed.","Overall, the student will have a working knowledge of human operator (pilot) characteristics that are relevant for the design and evaluation of human-machine systems. Specific study goals:

The student:
* Is able to classify different types of human behaviour according to Rasmussen's rule-skill and knowledge taxonomy
* Is able to predict performance and human behaviour in manual control tasks
* Knows the physiology and characteristics of human sensory systems and actuation processes (visual, vestibular, propioceptive senses and neuromuscular system), and is able to predict the implications of these properties for human perception and behaviour
* can characterize and compare 2D and 3D interfaces
* can analyze accident and incident reports, find latent and active errors and classify these with Rasmussen's SRK taxonomy and identify Reason's error shaping factor. The student understands the wider context of human error (Dekker's 'new view').
* is familiar with workload and situation awareness, and knows which methods are used to measure these properties
* understands the nature of human cognition, can distinguish between different views and models of cognition and knows when these are applicable
* is knowledgeable about experimental design, can make and provide arguments for choices in experimental set-up, can choose apply common statistical methods for evaluating experimental results","http://www.studiegids.tudelft.nl/a101_displayCourse.do?course_id=35363&&SIS_SwitchLang=en"
"AE4304P","Stochastic Aerospace Systems Practical","Application of MATLAB software to aircraft specific turbulence responses:

1. Calculation of aircraft time-histories due to both symmetrical and asymmetrical, longitudinal, lateral and vertical turbulence components.

2. Calculation of analytical transfer functions, frequency response functions, and auto- and cross Power Spectral Density (PSD) functions of state- and output variables (e.g.
acceleration levels).

3. Numerical calculation of frequency response functions, and auto- and cross Power Spectral Density (PSD) functions of state- and output-variables.

4. Calculation of (co)variance- and correlation-functions of aircraft state-and output-variables.

5. The effects of Automatic Flight Control Systems on the aircraft's responses on atmospheric turbulence.","Introduction to both time- and frequency-domain identification and simulation techniques using MATLAB. The techniques are applied to example aircraft (amongst others Cessna Citation 500).","http://www.studiegids.tudelft.nl/a101_displayCourse.do?course_id=35361&&SIS_SwitchLang=en"
"AE4463","Advanced Aircraft Noise Modeling and Measurement","The course aims at providing the students with a solid background in the modelling and measurement of noise, with a focus on aircraft noise.
To ensure a high level of understanding of the matter taught the students will implement the majority of the techniques in dedicated assignments. The resulting suite of modelling and analysis techniques will be applied for realistic scenarios.

Introduction:
Introducing the students in the state-of-the-art capabilities, research issues and challenges in the modelling and measurement of aircraft noise.

The aircraft as a noise source:
The students will be taught about the basic mechanisms behind the noise produced by the aircraft engines and airframe.

Methods for simulating the aircraft noise:
A variety of methods exist for predicting the noise produced by aircraft. They range from high fidelity to empirical, each suited for their selected application. The students will be introduced in these approaches with a focus on the semi-emperical prediction methods and examples of applying the methods will be given.

Applications of methods for predicting the aircraft noise sources:
With the increasing pressure to reduce aircraft noise, huge efforts are put in ways to design quiet aircraft and flight procedures. The students will be provided with background and examples of such design efforts.
Within assignments, the students will implement models for some of the aircraft noise sources.

Theory of sound propagation:
For deriving the sound levels as received on the ground, the propagation through the atmosphere needs to be accounted for. The wave equation, governing the sound propagation will be introduced, together with other phenomena influencing the sound propagation such as the interaction of sound with the ground and sound absorption in air.

Models for sound propagation through the atmosphere:
Propagation models are developed in both the time as well as the frequency domain. Students are provided with examples of the theory, as used by these models, together with the implementation and its results. These models range from Transmission Line Matrix (TLM) methods, through Parabolic Equation (PE) methods and Ray Tracing (RT) methods. The atmospheric influence of wind and temperature gradients will be explained and higligthed in every model.
Throughout the lectures, assignments will be given in which elements of the noise propagation are implemented. The goal is to have a full propagation model finished at the end of the lectures.

Auralization:
Knowing the noise emitted by the aircraft and the propagation of the sound through the atmosphere, allows for a detailed assessment of the received signals. Auralization of the predicted signals provides the real experience of aircraft noise during a flyover.

Implementation in daily life:
For regulation purposes, the high-fidelity methods described in the course are approximated. The underlying merits and shortcomings of these approximations are briefly treated.

Noise measurement techniques:
Whereas a single microphone provides the total noise level, microphone arrays can be used for imaging the individual nosie sources, each contributing to the total noise level.
The basic technique for noise imaging is beamforming. The students will be introduced in the theory behind this technique and will implement their own algorithms. Noise measurements will be provided for testing the algorithms.","The course aims at providing the students with an understanding of:
- Theory and modelling of the aircraft as a noise source
- Theory and modelling of the propagation of sound through the atmosphere
- State-of-the-art techniques for measuring aircraft noise

These elements are required, for example, for accurate noise contour calculations and low noise aircraft design.","http://www.studiegids.tudelft.nl/a101_displayCourse.do?course_id=35366&&SIS_SwitchLang=en"
"AE4304","Stochastic Aerospace Systems","The contents of the course follows from eight chapters of the lecture notes as below. Chapter 9 (Etkin's 4 point model) serves as background reading.

1. Introduction (aircraft do respond to atmospheric turbulence, effects on flight path, attitude, passenger comfort, safety, fatigue).

2. Scalar stochastic processes (probability theory, joint probability density functions, covariance and correlation functions, stochastic processes, ergodic processes).

3. Spectral analysis of stochastic processes in continuous time (Fourier analysis, power spectral densities, analysis of dynamic linear system responses in frequency domain).

4. Spectral analysis of stochastic processes in discrete time (discrete time Fourier transform, Fast Fourier Transform, spectral estimates-smoothing).

5. Multivariable stochastic processes (covariance function matrix and spectral density matrix, multi-variable system responses in the frequency and in the time domain).

6. Description of atmospheric turbulence (physical mechanisms, stochastic models of atmospheric turbulence, the two fundamental correlation functions, von Karman en Dryden spectra, models in the time domain).

7. Symmetric aircraft response to atmospheric turbulence (symmetrical aerodynamic forces and moments due to turbulence, gust derivatives, equations of motion of aircraft
flying in symmetrical atmospheric turbulence).

8. Asymmetric aircraft response to atmospheric turbulence (elementary two-dimensional fields of turbulence, asymmetrical aerodynamic forces and moments, asymmetrical gust derivatives, equations of motion).","Introduction to stochastic processes, spectral analysis, understanding the physics of aircraft responses to atmospheric turbulence, derivation of equations of motion of symmetrical and asymmetrical responses to atmospheric turbulence.","http://www.studiegids.tudelft.nl/a101_displayCourse.do?course_id=35360&&SIS_SwitchLang=en"
"AE4462","Aircraft Emissions and Climate Effects","Introduction:

Introducing the students in the state-of-the-art capabilities, research issues and challenges in climate effects of aviation.

Aircraft engine emissions:

- Recap aircraft propulsion
- Gas emissions from aircraft engines, combustion and combustion products from burning kerosene.
- Emission certification and regulation
- Dispersion and dilution of pollutants, convection and advection of air, vertical stability of the atmosphere, conditions for contrail formation
- Operation and design for low pollution

Atmospheric radiation physics:

- Properties of electromagnetic radiation, the electro-magnetic spectrum, reflection and refraction
- Radiative properties of natural surfaces
- Thermal emissions (black body radiation, Planck, Wien and Stefan-Boltzmann law)
- Atmospheric transmission and emission, absorption by atmospheric gases
- Radiation balance of the Earth and radiative forcing

Climate impact of air traffic:

- General circulation of the atmosphere
- Atmospheric chemistry and contrail formation
- Climate change caused by air traffic emissions
- Modelling of climate impact from aviation
- Application and show cases for the assessment of mitigation options supporting decision making,
e.g. for climate optimized trajectories","The course aims at providing the students with an understanding of:
- Theory and modelling of aircraft engine emissions
- Theory and modelling of atmospheric radiation physics
- Theory and modelling of the climate impact of air traffic

These elements are required, for example, for the assessment of the climate impact of aviation and mitigation measures, including climate optimised trajectories/routing, supersonic transport and low NOx flight.","http://www.studiegids.tudelft.nl/a101_displayCourse.do?course_id=35365&&SIS_SwitchLang=en"
"AE4302","Avionics and Operations","(see week arrangement)

This course provides a comprehensive, unified coverage of the principles of modern navigation equipment and systems, both in the aircraft and on the ground, including the aircraft instrumentation and flight-deck systems, with a special emphasis on the important trends in the global air navigation and air traffic management system.","1. The student can describe in detail the working principles of the avionics systems treated in the course.

2. The student can demonstrate the avionics systems' functionalities, identify their strong points and weaknesses, and make comparisons between the avionics systems.

3. The student can evaluate, criticize, and appraise their usage in the current and future operational context.","http://www.studiegids.tudelft.nl/a101_displayCourse.do?course_id=35355&&SIS_SwitchLang=en"
"AE4445","Introduction to Aircraft Noise","Aircraft noise

Basic facts:
Physics of sound waves. Harmonic waves, sound speed, wave front and rays. Diffraction and refraction of sound waves. The dB scale for acoustic power, sound intensity and sound pressure (sound pressure level). Adding sound pressure levels and the standing wave. Directionality of sound sources. Periodic and broadband noise. Limits of audibility. Doppler effect and shock waves.

Dynamics of sound:
Derivation of the wave equation from conservation of mass, momentum and energy. Plane waves. Harmonic solution to wave equation. Particle velocity and characteristic acoustic impedance. Sound speed and mean molecular velocity in air. Spherical waves. Helmholtz equation.

Elementary sound sources and acoustic imaging:
Derivation of directional properties of the monopole, dipole and quadrupole sound source and their relation to piston engine exhaust, propeller and jet noise, respectively. Line array of monopoles. Continuous line array and circular piston membrane. Principle of acoustic imaging and the acoustic camera. Diffraction.

Atmospheric propagation:
Geometrical spreading and sound attenuation due to friction. Sound pressure level calculations as a function of distance from the source. Derivation of reflection and transmission coefficient of sound when going from one medium to another medium. Critical angle. Effect of temperature gradient on sound propagation. Calculation of shadow zone distance. Ray tracing. Acoustic remote sensing of the atmosphere. Derivation of the sound transmission coefficient through a layer, e.g. a wall. Mass law.

Sound in enclosures:
The diffuse sound field and its intensity. Sound absorption by the enclosure's walls and the concept of open window area. Temporal behavior of sound intensity after switching on/off an acoustic source. Sabine's law for reverberation time. Desired reverberation times for various room types. Reverberation distance.

Acoustic filters:
Attenuation of sound in ducts, e.g. exhaust systems. Derivation of sound attenuation for a single change in cross-sectional area. Sound transmission loss in a duct with a double change in cross-sectional area (muffler). Other acoustic filters, e.g. Helmholtz resonator. Acoustic lining and its application in turbofan engines.

Frequency analysis:
Fourier transform, power spectral density (spectrum) and spectrogram. Octave band and terts band analysis, pressure band level. Effect on bandwidth on measured aircraft spectra. Overall sound pressure level. Spectra of aircraft flyovers. Tonal components in aircraft spectra (e.g. propeller blade passage frequency, exhaust firing frequency).

Noise measures:
Human perception of sound, loudness and the phone and sone scale. Equal loudness level contours. Overall loudness level for broadband noise. Equal noisiness curves, overall noy value and perceived noise level. A-weighting and overall A-weighted sound pressure level. Effect of the duration of sound on human perception, equivalent A-weighted sound pressure level and sound exposure level (SEL). Single flyover noise contours. Noise indices for total noise exposure. Day-night average level (LDN).

Airplane noise sources:
Piston engine noise and exhaust firing frequency. Propeller noise (spectrum and directional properties) and blade passage frequency. Turbo engine noise and directionality of the fan and exhaust jet noise source. Effect of bypassing on exhaust jet noise and effect of acoustic lining on fan noise. Properties of airframe (aerodynamic) noise.","Understand the relationship between aviation and noise impact.","http://www.studiegids.tudelft.nl/a101_displayCourse.do?course_id=35364&&SIS_SwitchLang=en"
"AE5310","Thesis Control and Operations","The final graduation project.","Learning objectives MSc Thesis
During the MSc thesis the student will show their knowledge, understanding and skills at an academic Master's level with respect to independently planning and executing a research or design project.
On completing the Graduation Project, the student should be able to:
 Demonstrate that they are capable to independently apply relevant theory and/or knowledge to research and/or design;
 Formulate a theoretical and/or experimental framework and delineate a research and/or design problem such that it can be solved;
 Interpret obtained results in a critical manner;
 To produce results with scientific/technological relevance that can be published in scientific literature;
 Critically reflect on the work performed at the level of their peers in their particular field;
 Present the work performed in a well-structured report or a draft scientific paper that incorporates verification of methods and tools and is written in correct English;
 Present work performed in a structured way through an oral presentation to their peers and wider audience;
 Defend their work in presence of their peers where the work is placed into scientific context and explain the contribution to the field;
 Plan the project efficiently considering resources and methodology;
 Execute the project controlling the process, effectively using the plan.","http://www.studiegids.tudelft.nl/a101_displayCourse.do?course_id=35357&&SIS_SwitchLang=en"
